"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Data analysis for a healthcare start-up.","https://www.upwork.com/job/Data-analysis-for-healthcare-start_~018230443b9fd47f44/","Expert",NA,"2019-06-10","To create and interpret complex patterns from raw data of patient information. To create actionable patterns from raw data from patients.",NA,"5","$200+ ","3.59 Stars, based on 2 feedbacks","India",NA,"3.59","2"
"2","Modifications to a Bayesian Network","https://www.upwork.com/job/Modifications-Bayesian-Network_~01e9ab3cd84b3eaaf0/","Intermediate","30","2019-06-10","I have a Matlab code on Bayesian Networks that don't print the correct output. I have the same model in genie and the results are different. I am searching for someone who has previous experience in Bayesian Networks to do some minor modifications in the script or the excel sheet that is offering the data. My script is called Bayes_Net4.m and you can find it in the zip file. less",NA,NA,"$50 ","5.00 Stars, based on 1 feedback","Greece",NA,"5.00","1"
"3","Optimize Planning Schedule for Manufacturer","https://www.upwork.com/job/Optimize-Planning-Schedule-for-Manufacturer_~01597df7ea11a89c2c/","Intermediate",NA,"2019-06-10","We are looking to optimize the production plan for a bottling line. We are looking at 5 months worth of actual sales for demand. There are multiple finished goods that have the same liquid in each (just a different label). There is a limit of 16 h ... more","Python",NA,"$100k+ ","4.88 Stars, based on 62 feedbacks","United States",NA,"4.88","62"
"4","Email Migration Time Estimate - Written Opinion Needed - ~30 Minutes of work","https://www.upwork.com/job/Email-Migration-Time-Estimate-Written-Opinion-Needed-Minutes-work_~0125b683e7d863390b/","Expert","150","2019-06-10","I am looking for someone who is located in either Canada or USA, who has extensive experience in email migration, positive feedback and an impressive resume, Firms are welcome to apply and will be considered. The task is quick and simple; I have a client whose email systems I manage, and am discontinuing my services with them. I need to make sure that i give them a reasonable amount of time to migrate their content to accounts which they manage themselves or through a different service provider. I am looking to use your opinion as a second opinion and it will need to come in the form of a signed letter, accompanied by your current Resume. The accounts that will need to be transfered: The Current Setup which will need to be transferred to a new account: Microsoft Emails: The client has 11 email accounts with the following statistics : User 1 2.105 GB User 2 18.97 GB User 3 28.67 GB User 4 57.87 GB User 5 489.4 MB User 6 49.28 GB User 7 2.357 GB User 8 2.978 GB USer 9 26.84 GB User 10 39.16 GB User 11 6.692 GB Total Less than 240GB They would need to be ported to a new provider, The port process would need to be with user based rights (one user one password), as no administrative or elevated privileges will be available. Zoho Mail 8 Users. Total size under 13GB I am looking for a reasonable time estimate to transfer these accounts to a new account, the new account can be hosted with the same providers or new ones, but it should be assumed that regardless of who hosts the new accounts, it would be a sufficiently efficient transfer, with the receiving client capable of importing account data from current providers efficiently. It should be assumed that contact and calendar information will also be transferred. For the time estimate you should allot some time to setup distribution lists and forwarders. You should assume that each account has up to 10 aliases, up to 50 total distribution lists, and some accounts have global forwarding settings for inbound mail (particularly so for Zoho accounts) I am looking for a reasonable time frame assuming that reasonable urgency is given to the task, and necessary resources are immediately allocated to this task. With you application please include: A blurb about your experience Confirm that you/ with your team if applicable would be able to implement the above and deal with reasonable issues that may arise as course of normal transition Your location A rough time estimate you would expect this to take, (please assume that the client might choose to hire you for said move, and hold you to your time estimate) Cost to do this if you were to be hired to do this task less",NA,NA,"$90k+ ","4.72 Stars, based on 202 feedbacks","Canada",NA,"4.72","202"
"5","Social Media Marketing Project Manager","https://www.upwork.com/job/Social-Media-Marketing-Project-Manager_~01159e733055446cf0/","Intermediate",NA,"2019-06-10","Industry Power Players Network, a division of CJM Enterprises, is looking for a confident, detail-oriented, and highly organized person to join the team as an associate to the Manager for our Digital Marketing projects. We strive to market to consum ... more","Facebook Marketing, Instagram Marketing, Retargeting,  ",NA,"$8k+ ","4.87 Stars, based on 13 feedbacks","United States",NA,"4.87","13"
"6","Help wanted with the STATA part of my master's thesis","https://www.upwork.com/job/Help-wanted-with-the-STATA-part-master-thesis_~01bbe3cca836f52847/","Intermediate",NA,"2019-06-10","Hi, I need help with the STATA part of my master's thesis. I need to perform an OLS regression where lag variables are included. Due to other occupations I currently don't have the time to figure it out by myself. I do however, need to understand ho ... more",NA,NA,"$0 ","No feedback yet","Belgium",NA,NA,NA
"7","SCRAPE FOR A SPECIFIC PIECE OF Financial Data; Automate it with Python In Repl.It","https://www.upwork.com/job/SCRAPE-FOR-SPECIFIC-PIECE-Financial-Data-Automate-with-Python-Repl_~01c59d05bcd880c674/","Entrylevel","15","2019-06-10","Hi I need 1 bit of info for all securities under 10.00 from Yahoo finance (statistics section). Because that data changes ever so often, i'd like to be able to run a simple python code that will provide me with the info on-demand in an excel file",NA,NA,"$6k+ ","4.94 Stars, based on 44 feedbacks","United States",NA,"4.94","44"
"8","Strategic Marketing Research","https://www.upwork.com/job/Strategic-Marketing-Research_~0175266c204ddf9284/","Intermediate","7","2019-06-10","Need a small report urgently with the following included Strategic Marketing - Important statistics, Success Stories, Diagrams, Pictures, Processes Strategic Marketing vs Tactical Marketing - Comparison, Important statistics, Diagrams, Pictures, Strategic Marketing and Coorperate Strategy - Comparison, Important statistics, Diagrams, Pictures, Marketing Plant - Plan, Diagrams, Pictures, Processes Relationship Marketing - Plan, Diagrams, Pictures, Processes With proper Harvard style references less","Market Analysis, Marketing Strategy, Data analytics",NA,"$0 ","No feedback yet","Sri Lanka",NA,NA,NA
"9","Operations Business Analyst","https://www.upwork.com/job/Operations-Business-Analyst_~0113926485bc03c672/","Intermediate",NA,"2019-06-10","Job Description: - Responsible for requirement gathering - Data acquisition, analysis, and reporting Job Responsibilities: - Ensure that complex business requirements are accurately captured, documented, communicated, and accurately implemented. - ... more","Customer Service, Data Analytics, Excel VBA,   ","2","$100M+ ","4.96 Stars, based on 3805 feedbacks","United States","Enterprise","4.96","3805"
"10","Need data scientist with R proficiency to help build out an econometric simulation","https://www.upwork.com/job/Need-data-scientist-with-proficiency-help-build-out-econometric-simulation_~019656afa12d5c057f/","Expert",NA,"2019-06-10","For this project, we are looking to take an existing dataset + model design and build a machine learning simulation that projects changes to housing demand for various US zip codes on a year-by-year basis. This simple model will first predict housing demand (expressed as Housing Price Index value) for the following year based on economic/demographic attributes of a given zip code. Then, those demographics will be updated based on growth assumptions, and then HPI calculated again for the following year, and so on. Seeking a developer proficient in the R language as well as comfortable with core concepts of Machine Learning/statistical inference less","R, Data Engineering, SQL",NA,"$8k+ ","4.87 Stars, based on 23 feedbacks","United States",NA,"4.87","23"
"11","SPSS Expert wanted","https://www.upwork.com/job/SPSS-Expert-wanted_~015571d2014ca8b7a3/","Intermediate",NA,"2019-06-10","Dear applicant, For this project we need a skilled SPSS enthusiast. We will ask you to work on different cases. More information about the cases will be given through the interview. But you can guess its about alpha, power, GLM etc. If you have experience with SPSS, please show us when applying. less","IBM SPSS",NA,"$5k+ ","4.79 Stars, based on 108 feedbacks","Netherlands",NA,"4.79","108"
"12","2001 data analysis STATA F4t7i9u1s3d3f","https://www.upwork.com/job/2001-data-analysis-STATA-F4t7i9u1s3d3f_~0115acf608ff318dd8/","Intermediate","30","2019-06-10","Looking for an expert who will help with data analysis using STATA. The price is negotiable.",NA,NA,"$600k+ ","4.81 Stars, based on 3667 feedbacks","Estonia",NA,"4.81","3667"
"13","xenforo revenue genrator addon","https://www.upwork.com/job/xenforo-revenue-genrator-addon_~01f1fe71466460be62/","Expert","1","2019-06-10","Admin Options Can Check users earning, users views, threads views, Last month, monthly, yearly views Can payout, can check payout requests, check can P ayPal account on the payout, Payout Trx ID for record Payout requests alert notification, payout request page, payout request email Rates per views Payout threshold Statistic Page: Top 100 threads by views and earning Top 100 users by followers, views and earning Can Set a monthly and yearly task for the user Active users can earn only stop or reset earning if user not online X days Fraud control to check self-views Viewers locations, ip Can earn from the forum Users with minimum X views Thread with minimum X views Ban any users from earning Old views: Control old views user and admin can check but not generate revenue Keep a record about everything like views, earning, payout requests, payouts, payout TRX ID USER Hend Can check earning, last earned and current month, Last month, monthly,and total views Can submit payout request WHEN HE REACH Payout threshold Update payment option before payout request if missing Select payment gateway Add or remove earning request Top 10 threads by views and earning Last month, monthly, Payout record Payout notification, alert, email Payment gateway Pa ypal, Ba nk account <U+21D0>==== USing martview voucher to pay less","PHP Script, Requirements Specification, PHP",NA,"$0 ","No feedback yet","Pakistan",NA,NA,NA
"14","Explain generation of random correlated variables using Cholesky decomposition","https://www.upwork.com/job/Explain-generation-random-correlated-variables-using-Cholesky-decomposition_~01979fb9f53f0c3c27/","Expert",NA,"2019-06-10","(1) Explain Cholesky generation of random correlated variables (2) Consider that in some cases there are missing data points in the history of correlated values. (3) Optional - describe how to implement in Python","Python, Mathematical Models, Mathematics",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"15","excel historical data manipulation","https://www.upwork.com/job/excel-historical-data-manipulation_~014e33c6ac36f36c0a/","Expert","100","2019-06-10","looking to find price trends within time periods excel ;","BigQuery, Microsoft Excel",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"16","Corporate Logo Design","https://www.upwork.com/job/Corporate-Logo-Design_~01486328c4ad6a31d1/","Intermediate","800","2019-06-10","Budget: Conservative Deadline(s): Visual identity & Logo Development - Monday, July 8, 2019 Presentation – Wednesday, July 31, 2019 Stationary – Thursday, August 15, 2019 Deliverables: Mood board: · Research & Mood board Visual Identity Guideline*: · Research · Colour palette · Font Families · Pattern · Icon Set · Infographic · Photography style Logo Master*: · 5 Concepts, revision, 3 Concepts, revision, 2 Concepts, final tweaks – Choose 1, final tweaks Stationary: · Business Cards · Pens · Journal Design Presentation · Design presentation in accordance to visual identity guideline less","Flowcharts, Infographics, CorelDRAW, Adobe InDesign,  ",NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"17","Google Analytics & Google Tag Manager","https://www.upwork.com/job/Google-Analytics-amp-Google-Tag-Manager_~0184f686f8767f3358/","Expert",NA,"2019-06-10","ROLE The individual will be a specialist in Google tag manager (GTM), Google Analytics (GA) and Google data studio (GDS). The individual is responsible for the weekly monitoring and weekly reporting of clients' Analytics RESPONSIBILITIES & RESULTS The individual's responsibilities will include, GTM Specific - Create, organize, and publish in GTM prior to funnel and social media launch. - Maintain client tags/triggers/variables in GTM based on changing needs/goals - Follow a checklist of specific items tags/triggers/variables to ensure consistency across clients. - Weekly demonstration of best practices in the usage of GTM GA & GDS Specific - Create, organize, and maintain client GA Dashboards and Custom Reports based on client needs - Debug GA to ensure data is accurately reporting across client sites/social media. - Create GA dashboard templates & Custom Report templates for both B2B & B2C clients - Templatize these dashboards and custom reports in GDS to facilitate faster onboarding of clients - Identify weekly/monthly trends in client data and feedback this data to client success manager, funnel team, and social media teams to ensure - Identify, assess, and report on data, metrics, and client KPI's to ensure team can act on the data to ensure continuous improvement and growth in client's account REQUIREMENTS - Deep understanding of GTM, GA, and GDS - Competency in communicating data in a visually relevant manner for internal and external teams - Detail oriented with excellent multitasking and organizational abilities - Ability to meet desired results in a fast-paced work environment that is constantly expanding and evolving - Team player that can work with a variety of personalities less","Google Analytics, Google Data Studio",NA,"$80k+ ","4.87 Stars, based on 20 feedbacks","United States",NA,"4.87","20"
"18","Math task explanation over Skype in Spanish","https://www.upwork.com/job/Math-task-explanation-over-Skype-Spanish_~01fb919d239d256d8f/","Entrylevel","10","2019-06-10","I'll give you some math optimization tasks already solved, you just need to explain the solutions over skype to me in Spanish of course, very easy task for any mathematician, I'm paying $10 the hour so it's quite a nice deal, tell me if you're interested and I'll send you 5 tasks to see if you can do it. less","Mathematics, Skype, Spanish",NA,"$0 ","No feedback yet","Spain",NA,NA,NA
"19","Google Analytics Expert needed to ADD our classes/products to the","https://www.upwork.com/job/Google-Analytics-Expert-needed-ADD-our-classes-products-the_~01b0714581e69257a1/","Expert","150","2019-06-10","*** PLEASE VISIT THE TUTORIAL PAGE BELOW BEFORE APPLYING TO THIS JOB *** GOOGLE TUTORIAL LINK: https://developers.google.com/analytics/devguides/collection/analyticsjs/enhanced-ecommerce We need a Google Analytics Expert to ADD OUR CLASS INFORMATION (name of class, price of class, etc) to our Google Analytics Code for Enhance E commerce Tracking Purposes. *** WE DO NOT NEED TO ADD THIS CODE TO OUR WEBSITE. WE HAVE A DEVELOPER THAT WILL DO THIS *** We just need your help setting up the code for our classes. ------------------------------------------------------------------ We are a school in the USA and we already have a Google Analytics account. We would like to see a report that shows which marketing channel lead to each individual product sale of our classes. Here's the bad news. We using 2 different websites for our school. (1) Our main website is a marketing website and doesn't have any class information. (2) Our 2nd website is called Higher Reach and it contains all the class information and let's customers purchase classes on the platform. less","Google Analytics",NA,"$8k+ ","4.91 Stars, based on 324 feedbacks","United States",NA,"4.91","324"
"20","artificial intelligence use cases in radio network optimization in telecom companies","https://www.upwork.com/job/artificial-intelligence-use-cases-radio-network-optimization-telecom-companies_~014777174f3151ed43/","Expert","5","2019-06-10","I need a short ppt slides about use cases in radio network optimization using machine learning or deep learning . no details are required. I NEED ONLY name of the case problem to be solved features used model used metrics of evaluation this is a very urgent task less",NA,NA,"$0 ","No feedback yet","Egypt",NA,NA,NA
"21","Need a scoring algorithm to rank products","https://www.upwork.com/job/Need-scoring-algorithm-rank-products_~01ba8cbfdce4914c4f/","Intermediate",NA,"2019-06-10","Looking for someone with a math and data science background to create a scoring algorithm to assign a score out of 100 to products. There are about 10 different dimensions on which the product score would be based, and for each of these dimensions there are a few possible options. So what we'd like to do is assign a point value or weight to each option, and then create a scoring formula that will combine them all and output a score out of 100. For example: Product Feature A: -Good = 1 point -Better = 2 points -Best 2.5 points Product Feature B -Good = 0 points -Better = 1 point -Best = 3 points etc. We will provide a detailed list of the different dimensions and details on how we'd like to value them. Also note that the scores should be bell-curved to be mostly distributed in the 65 to 95 range. So the formula needs to ensure that scores never exceed 99, and generally should not be below 50-60. Please include any similar projects you've worked on that you think would be relevant, what your general approach would be, and any questions you have! less","Microsoft Excel",NA,"$20k+ ","4.99 Stars, based on 41 feedbacks","Canada",NA,"4.99","41"
"22","Implement Google Analytics and AdWords across all the companies websites","https://www.upwork.com/job/Implement-Google-Analytics-and-AdWords-across-all-the-companies-websites_~0102081fc12fb8175a/","Intermediate","150","2019-06-10","Implement Google analytics across all the company assets (12 sites/ locations) Implement Google AdWords across all eligible assets (3) Create custom reports in GA to track and deliver metrics to be measured Automate reports","Google Analytics, Google AdWords",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"23","Excel Guru Needed for Sales Analyst","https://www.upwork.com/job/Excel-Guru-Needed-for-Sales-Analyst_~01861051f529bff98b/","Entrylevel",NA,"2019-06-10","We are looking for an Excel guru who is good with pivot tables especially. We need data exported and pivoted to show the pertinent information we need for sales multiple times a day. Please do not apply if you are not knowledgable in Excel, this job is 98% excel based less","Microsoft Excel",NA,"$500k+ ","3.92 Stars, based on 30 feedbacks","United States",NA,"3.92","30"
"24","Agriculture Expert Analysis on Geo-Spatial Data","https://www.upwork.com/job/Agriculture-Expert-Analysis-Geo-Spatial-Data_~01efdf826c393d2944/","Expert",NA,"2019-06-10","The information that needed to be analyzed will be from multispectral cameras and mapping software. We are looking for the best of the best agricultural experts with a track record. We are the Pioneers of technology in Indonesia.",NA,"5","$0 ","No feedback yet","United States",NA,NA,NA
"25","Data Analytics for website: Google Analytics, Tag Manager etc","https://www.upwork.com/job/Data-Analytics-for-website-Google-Analytics-Tag-Manager-etc_~0103ab50adaf5bef95/","Expert",NA,"2019-06-10","Seeking support on tracking results with ad variations and other changes we make on our website and other marketing activities including PPC and A/B testing. Person we hire will be expert and tracking results to create better results. I would like to know when we make a change if that change is for the better or if it hurts our results. Separately I also have a large data set of messages I would like to analyze for most effective message. May be a different person than for the website data analytics. • EntrepreneursNet.Net [Associated with Entrepreneur's Network (57,000 members)] https://EntrepreneursNet.net • clarityFi: Business & Management Advisors and Start CFOs https://clarityfi.com/ less","Google Analytics",NA,"$20k+ ","4.99 Stars, based on 14 feedbacks","United States",NA,"4.99","14"
